Key,Type,Desc,English,Korean,Japanese,German,Spanish,Portuguese (Brazil),Vietnamese,Russian,Indonesian,Thai,French,$Arabic,Hindi,Turkish
150 Value,Text,,150% Value,150% 가치,150％の価値,150 % Wert,150 % Valor,150% Valor,Giá trị 150%,150% ценности,150% Nilai,มูลค่า 150%,Valeur à 150 %,قيمة 150%,150% मूल्य,%150 Değer
1st place,Text,,1st place,1등,1位,1. Platz,1.º lugar,1º lugar,Hạng 1,1-е место,Peringkat 1,อันดับ 1,1er place,المركز الأول,पहला स्थान,1. Sıra
2x random booster,Text,,Random booster,무작위 부스터,ランダムブースター,Zufälliger Booster,Booster aleatorio,Impulsionador aleatório,Booster ngẫu nhiên,Случайный бустер,Booster acak,บูสเตอร์สุ่ม,Booster aléatoire,مُعزِّز عشوائي,रैंडम बूस्टर,Rastgele güçlendirici
8 lives instead of 5,Text,,{[VALUE]} lives instead of 5,5개 대신 {[VALUE]}개의 목숨,5ではなく{[VALUE]}ライフ,{[VALUE]} Leben statt 5,{[VALUE]} vidas en lugar de 5,{[VALUE]} vidas em vez de 5,{[VALUE]} mạng thay vì 5,{[VALUE]} жизней вместо 5,"{[VALUE]} nyawa, bukan 5",มีชีวิต {[VALUE]} ครั้งแทนที่จะเป็น 5,{[VALUE]} vies au lieu de 5,{[VALUE]} أرواح بدلاً من ٥,5 के बजाय {[VALUE]} जीवन,5 yerine {[VALUE]} can
Activate,Text,,Activate,활성화,有効化,Aktivieren,Activar,Ativar,Kích hoạt,Активировать,Aktifkan,เปิดใช้งาน,Activer,تفعيل,सक्रिय करें,Etkinleştir
Activate the Grill Pass to unlock this for a limited time!,Text,,Activate the Grill Pass to unlock this {[value]} for a limited time!,그릴 패스를 활성화하여 제한된 시간 동안 이 {[value]}을(를) 잠금 해제하세요!,グリルパスを有効にして、期間限定でこの{[value]}をアンロック！,"Aktiviere den Grill-Pass, um dieses {[value]} für begrenzte Zeit freizuschalten!",Activa el Pase de Parrilla para desbloquear este {[value]} por tiempo limitado.,Ative o Passe da Churrasqueira para desbloquear este {[value]} por tempo limitado!,Kích hoạt Grill Pass để mở khóa {[value]} trong thời gian giới hạn!,"Активируй Гриль-Пасс, чтобы разблокировать этот {[value]} на ограниченное время!",Aktifkan Tiket Pemanggang untuk membuka {[value]} selama waktu terbatas!,เปิดใช้งานบัตรย่างเพื่อปลดล็อก {[value]} ภายในเวลาจำกัด!,Activez le Pass Grillade pour débloquer ce {[value]} pendant une durée limitée !,فعّل تذكرة الشواء لفتح هذا {[value]} لفترة محدودة!,ग्रिल पास सक्रिय करें और सीमित समय के लिए इस {[value]} को अनलॉक करें!,"Mangal Bileti’ni etkinleştir, bu {[value]} kilidini sınırlı süreliğine aç!"
Activate the Harvest Pass to unlock this for a limited time!,Text,,Activate the Harvest Pass to unlock this {[value]} for a limited time!,하베스트 패스를 활성화하여 제한된 시간 동안 이 {[value]}을(를) 잠금 해제하세요!,ハーベストパスを有効にして、期間限定でこの{[value]}をアンロック！,"Aktiviere den Ernte-Pass, um dieses {[value]} für begrenzte Zeit freizuschalten!",Activa el Pase de Cosecha para desbloquear este {[value]} por tiempo limitado.,Ative o Passe da Colheita para desbloquear este {[value]} por tempo limitado!,Kích hoạt Harvest Pass để mở khóa {[value]} trong thời gian giới hạn!,"Активируй Урожай-Пасс, чтобы разблокировать этот {[value]} на ограниченное время!",Aktifkan Tiket Panen untuk membuka {[value]} selama waktu terbatas!,เปิดใช้งานบัตรเก็บเกี่ยวเพื่อปลดล็อก {[value]} ภายในเวลาจำกัด!,Activez le Pass Récolte pour débloquer ce {[value]} pendant une durée limitée !,فعّل تذكرة الحصاد لفتح هذا {[value]} لفترة محدودة!,हार्वेस्ट पास सक्रिय करें और सीमित समय के लिए इस {[value]} को अनलॉक करें!,"Hasat Bileti’ni etkinleştir, bu {[value]} kilidini sınırlı süreliğine aç!"
Activate the Pass to unlock this for a limited time!,Text,,Activate the Pass to unlock this {[value]} for a limited time!,패스를 활성화하여 제한된 시간 동안 이 {[value]}을(를) 잠금 해제하세요!,パスを有効にして、期間限定でこの{[value]}をアンロック！,"Aktiviere den Pass, um dieses {[value]} für begrenzte Zeit freizuschalten!",Activa el Pase para desbloquear este {[value]} por tiempo limitado.,Ative o Passe para desbloquear este {[value]} por tempo limitado!,Kích hoạt Thẻ để mở khóa {[value]} trong thời gian giới hạn!,"Активируй Пропуск, чтобы разблокировать этот {[value]} на ограниченное время!",Aktifkan Tiket untuk membuka {[value]} selama waktu terbatas!,เปิดใช้งานบัตรเพื่อปลดล็อก {[value]} ภายในเวลาจำกัด!,Activez le Pass pour débloquer ce {[value]} pendant une durée limitée !,فعّل التذكرة لفتح هذا {[value]} لفترة محدودة!,पास सक्रिय करें और सीमित समय के लिए इस {[value]} को अनलॉक करें!,"Bileti etkinleştir, bu {[value]} kilidini sınırlı süreliğine aç!"
Activated!,Text,,Activated!,활성화됨!,アクティブ！,Aktiviert!,¡Activado!,Ativado!,Đã kích hoạt!,Активировано!,Aktif!,เปิดใช้งานแล้ว!,Activé !,تم التفعيل!,सक्रिय किया गया!,Etkin!
Activity,Text,,Activity,활동,活動,Aktivität,Actividad,Atividade,Hoạt động,Активность,Aktivitas,กิจกรรม,Activité,نشاط,गतिविधि,Aktivite
Add 1 plate and continue!,Text,,Add 1 plate and continue!,접시 1개를 추가하고 계속하세요!,皿を1枚追加して続行！,Füge 1 Teller hinzu und mache weiter!,¡Agrega 1 plato y continúa!,Adicione 1 prato e continue!,Thêm 1 đĩa và tiếp tục!,Добавьте 1 тарелку и продолжайте!,Tambahkan 1 piring dan lanjutkan!,เพิ่มจาน 1 ใบแล้วเล่นต่อ!,Ajoutez 1 assiette et continuez !,أضف طبقًا واحدًا وتابع!,1 प्लेट जोड़ें और जारी रखें!,1 tabak ekle ve devam et!
Add 1 tray and continue!,Text,,Add 1 tray and continue!,쟁반 1개를 추가하고 계속하세요!,トレイを1枚追加して続行！,Füge 1 Tablett hinzu und mache weiter!,¡Agrega 1 bandeja y continúa!,Adicione 1 bandeja e continue!,Thêm 1 khay và tiếp tục!,Добавьте 1 поднос и продолжайте!,Tambahkan 1 baki dan lanjutkan!,เพิ่มถาด 1 ใบแล้วเล่นต่อ!,Ajoutez 1 plateau et continuez !,أضف صينية واحدة وتابع!,1 ट्रे जोड़ें और जारी रखें!,1 tepsi ekle ve devam et!
Add 30s to continue,Text,,Add <color=#B73333>{[VALUE]}s</color> to keep playing!,<color=#B73333>{[VALUE]}s</color>초 추가하여 계속하기,<color=red>{[VALUE]}</color>秒追加して続ける,"Füge <color=#B73333>{[VALUE]}s</color> hinzu, um fortzufahren",Agrega <color=#B73333>{[VALUE]}s</color> para continuar,Adicionar <color=#B73333>{[VALUE]}s</color> para continuar,Thêm <color=#B73333>{[VALUE]} giây</color> để tiếp tục,"Добавьте <color=#B73333>{[VALUE]}s</color>, чтобы продолжить игру!",Tambahkan <color=#B73333>{[VALUE]}s</color> untuk terus bermain!,เพิ่ม <color=#B73333>{[VALUE]}s</color> เพื่อเล่นต่อ!,Ajoutez <color=#B73333>{[VALUE]}s</color> pour continuer à jouer !,أضِف <color=#B73333>{[VALUE]}s</color> لمواصلة اللعب!,खेल जारी रखने के लिए <color=#B73333>{[VALUE]}s</color> जोड़ें!,Oynamaya devam etmek için <color=#B73333>{[VALUE]}s ekle!
Add Time,Text,,Add Time,시간 추가,時間追加,Zeit hinzufügen,Añadir tiempo,Adicionar tempo,Thêm thời gian,Добавить время,Tambah Waktu,เพิ่มเวลา,Ajouter du temps,أضف وقتًا,समय जोड़ें,Süre Ekle
Amazing Bundle,Text,,Amazing Bundle,어메이징 번들,アメージングバンドル,Erstaunliches Paket,Paquete asombroso,Pacote incrível,Gói tuyệt vời,Удивительный пакет,Paket luar biasa,ชุดสุดยอด,Pack incroyable,حزمة مذهلة,अद्भुत बंडल,Harika Paket
Amazing Bundle Legend,Text,,Amazing Bundle Legend,어메이징 번들 레전드,アメージングバンドルレジェンド,Erstaunliches Paket Legende,Paquete asombroso Leyenda,Pacote incrível Lenda,Gói tuyệt vời Huyền thoại,Удивительный пакет Легенда,Paket luar biasa Legenda,ชุดสุดยอดตำนาน,Pack incroyable Légende,حزمة مذهلة أسطورية,अद्भुत बंडल लेजेंड,Efsanevi Harika Paket
Amazing Bundle Max,Text,,Amazing Bundle Max,어메이징 번들 맥스,アメージングバンドルマックス,Erstaunliches Paket Max,Paquete asombroso Max,Pacote incrível Max,Gói tuyệt vời Max,Удивительный пакет Макс,Paket luar biasa Max,ชุดสุดยอด Max,Pack incroyable Max,حزمة مذهلة ماكس,अद्भुत बंडल मैक्स,Maksimum Harika Paket
Amazing Bundle Plus,Text,,Amazing Bundle Plus,어메이징 번들 플러스,アメージングバンドルプラス,Erstaunliches Paket Plus,Paquete asombroso Plus,Pacote incrível Plus,Gói tuyệt vời Plus,Удивительный пакет Плюс,Paket luar biasa Plus,ชุดสุดยอด Plus,Pack incroyable Plus,حزمة مذهلة بلس,अद्भुत बंडल प्लस,Harika Paket Plus
Amazing Bundle Premium,Text,,Amazing Bundle Premium,놀라운 프리미엄 번들,素晴らしいプレミアムバンドル,Erstaunliches Premium-Paket,Paquete increíble Premium,Pacote incrível Premium,Gói cao cấp tuyệt vời,Потрясающий премиум-набор,Paket Premium Menakjubkan,แพ็คเกจพรีเมียมสุดว้าว,Pack Premium incroyable,حزمة بريميوم مذهلة,शानदार प्रीमियम बंडल,Harika Paket Premium
Amazing Bundle Pro,Text,,Amazing Bundle Pro,어메이징 번들 프로,アメージングバンドルプロ,Erstaunliches Paket Pro,Paquete asombroso Pro,Pacote incrível Pro,Gói tuyệt vời Pro,Удивительный пакет Про,Paket luar biasa Pro,ชุดสุดยอด Pro,Pack incroyable Pro,حزمة مذهلة برو,अद्भुत बंडल प्रो,Harika Paket Pro
Amazing!,Text,,Amazing!,놀라워!,すごいね！,Erstaunlich!,¡Asombroso!,Surpreendente!,Tuyệt vời quá!,Потрясающе!,Mengagumkan!,น่าทึ่ง!,Incroyable !,مذهل!,अद्भुत!,Şaşırtıcı!
American Dishes,Text,,American Dishes,아메리칸 요리,アメリカ料理,Amerikanische Gerichte,Platos americanos,Pratos americanos,Món Mỹ,Американские блюда,Hidangan Amerika,อาหารอเมริกัน,Plats américains,أطباق أمريكية,अमेरिकी व्यंजन,Amerikan Yemekleri
An Invitation from Osaka,Text,,An Invitation from Osaka,오사카에서 온 초대,大阪からの招待,Eine Einladung aus Osaka,Una invitación desde Osaka,Um convite de Osaka,Lời Mời Từ Osaka,Приглашение из Осаки,Undangan dari Osaka,คำเชิญจากโอซาก้า,Une invitation d’Osaka,دعوة من أوساكا,ओसाका से निमंत्रण,Osaka’dan Davet
Are you sure you want to KICK out of the team?,Text,,Are you sure you want to KICK out of the team?,정말로 팀에서 강퇴하시겠습니까?,本当にチームから追放しますか？,"Bist du sicher, dass du aus dem Team werfen willst?",¿Seguro que quieres expulsar del equipo?,Tem certeza que deseja expulsar do time?,Bạn có chắc muốn đuổi khỏi đội?,"Вы уверены, что хотите выгнать из команды?",Yakin ingin mengeluarkan dari tim?,แน่ใจหรือว่าต้องการเตะออกจากทีม?,Voulez-vous vraiment expulser de l'équipe ?,هل أنت متأكد أنك تريد طرد من الفريق؟,क्या आप सुनिश्चित हैं कि टीम से बाहर करना चाहते हैं?,Takımdan atmak istediğine emin misin?
Are you sure you want to leave the team?,Text,,Are you sure you want to leave the team?,정말 팀을 떠나시겠습니까?,本当にチームを抜けますか？,"Bist du sicher, dass du das Team verlassen willst?",¿Seguro que quieres salir del equipo?,Tem certeza que deseja sair do time?,Bạn có chắc muốn rời đội không?,"Вы уверены, что хотите покинуть команду?",Yakin ingin keluar dari tim?,แน่ใจหรือว่าต้องการออกจากทีม?,Êtes-vous sûr de vouloir quitter l'équipe ?,هل أنت متأكد أنك تريد مغادرة الفريق؟,क्या आप सुनिश्चित हैं कि टीम छोड़ना चाहते हैं?,Takımdan ayrılmak istediğine emin misin?
Area,Text,,Area {[VALUE]},"영역 
{[VALUE]}","エリア 
{[VALUE]}","Bereich 
{[VALUE]}","Área 
{[VALUE]}","Área 
{[VALUE]}",Khu vực {[VALUE]},"Зона 
{[VALUE]}","Area 
{[VALUE]}","พื้นที่ 
{[VALUE]}","Zone 
{[VALUE]}","منطقة 
{[VALUE]}","क्षेत्र 
{[VALUE]}",Alan {[VALUE]}
Area Lock,Text,,Area Lock,구역 잠금,エリアロック,Bereichssperre,Bloqueo de área,Bloqueio de área,Khu vực bị khóa,Блокировка зоны,Kunci Wilayah,พื้นที่ถูกล็อก,Verrouillage de zone,قفل المنطقة,क्षेत्र लॉक,Alan Kilidi
Areas,Text,,Areas,지역,エリア,Bereiche,Áreas,Áreas,Các khu vực,Зоны,Area,พื้นที่,Zones,مناطق,क्षेत्र,Alanlar
Aurum Flow,Text,,Aurum Flow,오리움 플로우,オーラムフロー,Aurumfluss,Flujo áureo,Fluxo áureo,Dòng chảy vàng,Золотой поток,Aliran emas,กระแสทอง,Flux d'or,تدفق ذهبي,स्वर्ण प्रवाह,Altın Akışı
